"CTYNAME","pop2020","GrowthRate"
"Harris County","4767540","16.0598"
"Dallas County","2667720","12.4515"
"Tarrant County","2139860","17.7358"
"Bexar County","2040460","18.4345"
"Travis County","1290690","25.2440"
"Collin County","1072650","36.0487"
"Denton County","906532","35.9591"
"Hidalgo County","881171","13.0847"
"El Paso County","841184","4.6698"
"Fort Bend County","831302","40.8366"
"Montgomery County","628483","36.8618"
"Williamson County","608261","42.6891"
"Cameron County","425362","4.3439"
"Brazoria County","385200","22.5008"
"Bell County","371224","18.6588"
"Nueces County","364767","7.2046"
"Galveston County","345062","17.9796"
"Lubbock County","312486","11.4811"
"Webb County","279766","11.2872"
"McLennan County","261527","10.8555"
"Jefferson County","251821","-0.2543"
"Hays County","239339","51.2774"
"Smith County","235743","12.0409"
"Brazos County","233130","19.1487"
"Ellis County","191036","27.0431"
"Midland County","186962","36.4836"
"Johnson County","179881","18.9312"
"Ector County","172026","25.4904"
"Guadalupe County","171400","29.2648"
"Comal County","163539","49.6650"
"Parker County","147705","25.8939"
"Kaufman County","140176","34.9273"
"Randall County","139947","15.4850"
"Grayson County","139545","15.2979"
"Taylor County","139528","5.8369"
"Wichita County","132394","0.4507"
"Gregg County","124875","2.3675"
"Tom Green County","119189","7.6899"
"Potter County","117908","-2.8604"
"Rockwall County","108217","37.1450"
"Hunt County","101625","17.6433"
"Bowie County","95018","2.5714"
"Victoria County","91899","5.7818"
"Liberty County","91351","20.4269"
"Bastrop County","91310","22.7912"
"Angelina County","85854","-1.2094"
"Henderson County","84775","7.8261"
"Orange County","80844","-1.4254"
"Coryell County","74658","-1.3243"
"Wise County","73189","23.8372"
"Walker County","72674","6.4930"
"Harrison County","67098","2.0207"
"San Patricio County","66233","2.8000"
"Nacogdoches County","65935","1.9309"
"Hood County","65303","27.3758"
"Starr County","65041","6.3683"
"Maverick County","59001","8.3621"
"Anderson County","57747","-1.2821"
"Van Zandt County","57653","9.6294"
"Hardin County","57303","4.6000"
"Waller County","56808","30.5211"
"Rusk County","54710","2.5281"
"Kerr County","53515","7.8453"
"Cherokee County","53412","4.8445"
"Atascosa County","52792","17.4382"
"Medina County","52343","13.4709"
"Wilson County","52242","21.3322"
"Polk County","52061","14.5532"
"Navarro County","51137","6.8203"
"Lamar County","49990","0.3432"
"Val Verde County","49432","0.9228"
"Burnet County","49318","15.3503"
"Kendall County","48955","45.6301"
"Wood County","46805","11.4909"
"Caldwell County","44891","17.7284"
"Chambers County","44564","25.7236"
"Erath County","43614","15.0249"
"Cooke County","41754","8.5252"
"Upshur County","41478","5.3303"
"Wharton County","41025","-0.6201"
"Jim Wells County","40606","-0.6824"
"Brown County","38032","-0.1208"
"Hopkins County","37444","6.3569"
"Hill County","37424","6.4846"
"Howard County","36981","5.6842"
"Fannin County","36714","8.2402"
"Jasper County","36516","2.0713"
"Matagorda County","36034","-1.8361"
"Washington County","35530","5.4209"
"Titus County","33487","3.2880"
"Hale County","33402","-7.9074"
"Bee County","32563","2.1969"
"Kleberg County","31083","-2.9687"
"Austin County","30453","7.3725"
"Cass County","30397","-0.1904"
"San Jacinto County","29673","12.0836"
"Palo Pinto County","29475","4.9530"
"Grimes County","29126","9.4345"
"Gillespie County","27352","9.9048"
"Uvalde County","26342","-0.3820"
"Fayette County","25695","4.6171"
"Shelby County","25632","0.6795"
"Milam County","25423","3.0147"
"Bandera County","23824","15.8642"
"Limestone County","23523","0.1405"
"Houston County","23275","-1.7145"
"Panola County","23006","-3.2223"
"Hockley County","22950","0.4288"
"Llano County","22528","16.5201"
"Tyler County","22042","1.2960"
"Lampasas County","21849","10.5383"
"Gray County","21443","-4.5663"
"Gaines County","21433","21.8546"
"Willacy County","21397","-3.7342"
"Colorado County","21195","1.5475"
