County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Polk,234695,1882,801.9,580,552.7,608.5
Delta,25846,201,777.7,529.5,455.5,613.2
Lampasas,102120,694,679.6,512.9,474.1,554.2
Starr,317405,1406,443,504.3,478.1,531.6
Henderson,398638,2871,720.2,495.6,476.6,515.1
Gregg,617018,3371,546.3,488.9,472.2,506
Bell,1682599,7014,416.9,486.2,474.7,498
Wheeler,27937,172,615.7,485.8,413.3,568.1
Trinity,72552,577,795.3,484.8,442.2,530.9
Jasper,177262,1129,636.9,481.9,453,512.2
Foard,6197,42,677.8,481.4,328.4,684.6
Knox,18735,120,640.5,478.8,393.4,578.4
Coryell,378924,1469,387.7,478.6,453.9,504.3
Fannin,169102,1083,640.4,477.8,448.9,508.1
Grayson,631178,3772,597.6,470.9,455.6,486.7
Lamar,247025,1536,621.8,470.7,446.8,495.7
Wilbarger,64916,374,576.1,470.3,421.9,522.8
Hopkins,179694,1039,578.2,465.9,437.1,496.1
Kaufman,574212,2693,469,465.2,447.4,483.6
Upshur,202347,1225,605.4,463.7,437.2,491.4
Camp,63499,377,593.7,463.4,416.4,514.6
Johnson,800555,4058,506.9,463.3,448.8,478.2
Houston,114413,778,680,463.2,429.9,498.6
Hunt,451733,2489,551,461.6,443.2,480.5
Falls,86412,514,594.8,460.9,421,503.7
McCulloch,40748,282,692.1,460.5,405.5,521.7
Milam,122280,768,628.1,459.2,426,494.5
Sutton,19552,109,557.5,457.9,373.6,556.2
Hutchinson,108579,603,555.4,457.6,420.7,496.8
Angelina,438276,2325,530.5,457.2,438.5,476.6
Parker,630435,3395,538.5,455.9,440.2,472.1
Cherokee,258032,1434,555.8,455.6,431.8,480.5
Potter,607014,2715,447.3,455.1,437.8,472.8
Kleberg,158027,680,430.3,454.4,420.3,490.5
Van Zandt,268164,1695,632.1,454.4,432.1,477.6
Smith,1111377,5932,533.8,453.6,441.9,465.6
Jackson,73840,408,552.5,453.3,408.8,501.4
Cass,150551,978,649.6,452.9,423.5,484
Dawson,65421,320,489.1,452.5,403.6,505.8
Wichita,659223,3236,490.9,452,436.2,468.2
Rusk,266878,1455,545.2,450.7,427.4,475.1
Lee,84165,498,591.7,450.5,410.7,493.5
Marion,50766,386,760.4,449,402.1,500.8
Nolan,75152,429,570.8,448.8,406.1,494.9
Sabine,52125,422,809.6,447.2,399.9,499.5
Ellis,820724,3717,452.9,444.9,430.3,459.9
Rains,56237,397,705.9,443,397,493.7
Lavaca,99227,654,659.1,443,407.4,481.1
Orange,419475,2230,531.6,442.4,423.8,461.6
Montague,96839,617,637.1,440.9,405.1,479.4
Victoria,457891,2266,494.9,439.6,421.3,458.5
