"","lon","lat","NAME","type","inmates"
"1",-95.8037646,31.8909606,"Montalba-Tennessee Colony CCD","state_pris",11854
"2",-95.3887412,29.8014132,"Houston CCD","local_jail",9667
"3",-97.701935,31.4329075,"Gatesville CCD","state_pris",8082
"4",-95.4888756,29.2401918,"Angleton CCD","state_pris",7339
"5",-95.6655801,30.7050371,"Huntsville CCD","state_pris",7232
"6",-97.6847383,28.4270428,"Beeville CCD","state_pris",7073
"7",-96.6883192,32.8294489,"Northeast Dallas CCD","local_jail",6380
"8",-101.7919801,35.2351324,"Amarillo CCD","state_pris",5298
"9",-95.4785202,30.8598617,"Riverside CCD","state_pris",5267
"10",-94.1579492,29.928096,"LaBelle CCD","fed_pris",4772
"11",-99.8613872,32.5915678,"Hawley-Noodle CCD","state_pris",4590
"12",-98.511387,29.4149437,"San Antonio Central CCD","local_jail",4140
"13",-94.7814649,30.0001881,"Liberty-Dayton CCD","state_pris",3951
"14",-98.5500206,33.9290734,"Wichita Falls CCD","state_pris",3627
"15",-95.3887412,29.8014132,"Houston CCD","state_pris",3317
"16",-97.3856388,32.7534125,"Fort Worth CCD","fed_pris",3247
"17",-93.9591808,29.9439502,"Port Arthur CCD","state_pris",3226
"18",-97.8418468,28.7694048,"Kenedy CCD","state_pris",2846
"19",-94.8361971,30.7204527,"Livingston-Onalaska CCD","state_pris",2843
"20",-94.1579492,29.928096,"LaBelle CCD","state_pris",2819
"21",-94.4533716,33.4781144,"New Boston CCD","state_pris",2759
"22",-95.9658155,30.3482134,"Navasota CCD","state_pris",2736
"23",-98.1378941,26.3460448,"Edinburg CCD","state_pris",2512
"24",-95.5193638,31.1033091,"Lovelady CCD","state_pris",2436
"25",-95.744105,31.0188802,"Midway CCD","state_pris",2355
"26",-101.4544945,32.1734119,"Big Spring CCD","fed_pris",2288
"27",-100.851471,32.4152718,"Colorado City CCD","state_pris",2275
"28",-96.6883192,32.8294489,"Northeast Dallas CCD","state_pris",2214
"29",-98.7403555,29.3920668,"San Antonio West CCD","state_pris",2109
"30",-101.9596293,32.7394955,"Lamesa CCD","state_pris",2060
"31",-96.1967636,33.5543462,"Bonham CCD","state_pris",2030
"32",-96.876343,32.6984258,"Southwest Dallas CCD","state_pris",2024
"33",-94.798858,32.1723323,"Henderson CCD","state_pris",1969
"34",-97.6912697,30.2395128,"Austin CCD","local_jail",1965
"35",-102.7986785,30.6781932,"Fort Stockton CCD","state_pris",1956
"36",-101.7856441,34.1955342,"Plainview CCD","state_pris",1937
"37",-106.528069,31.948886,"El Paso Northwest CCD","fed_pris",1928
"38",-101.1985034,33.1514982,"Post East CCD","fed_pris",1920
"39",-106.115001,31.6740541,"El Paso East CCD","local_jail",1915
"40",-99.0910375,29.3857818,"Hondo CCD","state_pris",1818
"41",-96.6883192,32.8294489,"Northeast Dallas CCD","fed_pris",1781
"42",-94.4375853,30.7627788,"Woodville CCD","state_pris",1737
"43",-94.1229613,33.4715695,"Texarkana CCD","fed_pris",1671
"44",-95.6543612,29.6188483,"Sugar Land CCD","state_pris",1659
"45",-97.3856388,32.7534125,"Fort Worth CCD","local_jail",1498
"46",-97.2201437,30.1756504,"Bastrop CCD","fed_pris",1492
"47",-95.1931185,31.7970129,"Rusk CCD","state_pris",1433
"48",-95.6543612,29.6188483,"Sugar Land CCD","fed_pris",1412
"49",-102.7082657,35.8696213,"Dalhart CCD","state_pris",1333
"50",-97.1911697,29.0933065,"Cuero CCD","state_pris",1330
"51",-96.2466015,31.5977027,"Teague CCD","state_pris",1327
"52",-100.2044841,34.4360735,"Childress CCD","state_pris",1326
"53",-96.8740385,31.3409711,"Marlin CCD","state_pris",1324
"54",-100.8530504,32.8059799,"Snyder CCD","state_pris",1296
"55",-97.4381222,27.7017677,"Corpus Christi CCD","local_jail",1280
"56",-99.2685984,28.7244583,"Dilley CCD","state_pris",1253
"57",-97.1514383,33.2436015,"Denton CCD","local_jail",1147
"58",-97.1563815,31.5247791,"Waco CCD","local_jail",1138
"59",-95.6074474,31.7623956,"Palestine CCD","state_pris",1133
"60",-95.6434597,29.0755364,"Brazoria-West Columbia CCD","state_pris",1122
"61",-97.6912697,30.2395128,"Austin CCD","state_pris",1105
"62",-94.7388522,31.1748608,"Diboll CCD","state_pris",1101
"63",-106.115001,31.6740541,"El Paso East CCD","state_pris",1087
"64",-96.4743401,30.6579993,"West Brazos CCD","state_pris",1068
"65",-97.7669337,26.4853404,"Raymondville CCD","state_pris",1067
"66",-97.4310089,30.7286868,"Granger CCD","state_pris",1061
"67",-97.7185635,30.5932293,"Round Rock-Georgetown CCD","local_jail",1047
"68",-97.1809192,32.448375,"Alvarado CCD","state_pris",1042
"69",-98.1569667,33.2988863,"Jacksboro CCD","state_pris",1033
"70",-96.7260786,33.1749489,"McKinney CCD","local_jail",1015
"71",-94.8948647,29.2287059,"Galveston CCD","local_jail",1002
"72",-97.6233928,29.9104988,"Lockhart CCD","state_pris",1000
"73",-95.738133,29.5021791,"Rosenberg-Richmond CCD","local_jail",997
"74",-100.7708392,35.4298633,"Lefors CCD","state_pris",978
"75",-98.1544769,28.5194497,"Three Rivers CCD","fed_pris",967
"76",-95.4307023,30.6159843,"New Waverly CCD","state_pris",955
"77",-95.3388114,30.2218532,"Southeast Montgomery CCD","local_jail",938
"78",-101.8866894,33.5760512,"Lubbock CCD","state_pris",919
"79",-93.9591808,29.9439502,"Port Arthur CCD","local_jail",871
"80",-96.612243,31.5326353,"Groesbeck CCD","local_jail",863
"81",-102.3350117,33.1083848,"Brownfield CCD","state_pris",858
"82",-96.3469976,30.6458811,"Bryan-College Station CCD","fed_pris",824
"83",-95.4888756,29.2401918,"Angleton CCD","local_jail",810
"84",-94.1229613,33.4715695,"Texarkana CCD","local_jail",799
"85",-97.9523247,26.3046088,"Edcouch-Elsa CCD","local_jail",783
"86",-97.8086801,33.2065698,"Bridgeport CCD","state_pris",746
"87",-101.8866894,33.5760512,"Lubbock CCD","local_jail",738
"88",-95.3289339,32.382619,"Tyler CCD","local_jail",737
"89",-94.7716329,32.5062336,"Longview CCD","local_jail",708
"90",-97.7669337,26.4853404,"Raymondville CCD","local_jail",700
"91",-97.4702914,31.0481201,"Belton CCD","local_jail",677
"92",-93.7135949,30.8143284,"Newton CCD","local_jail",666
"93",-98.6468587,26.5985884,"Rio Grande City CCD","local_jail",607
"94",-94.0562518,30.9726344,"Jasper CCD","state_pris",595
"95",-96.8740385,31.3409711,"Marlin CCD","local_jail",590
"96",-99.0735686,28.4216126,"Cotulla CCD","state_pris",580
"97",-101.7536489,34.5542087,"Tulia CCD","state_pris",578
"98",-98.7854292,31.0693309,"San Saba CCD","state_pris",575
"99",-98.5500206,33.9290734,"Wichita Falls CCD","local_jail",553
"100",-97.3856388,32.7534125,"Fort Worth CCD","state_pris",549
"101",-102.367621,31.9276128,"Odessa CCD","local_jail",533
"102",-94.9682664,30.2917875,"Cleveland CCD","state_pris",525
"103",-98.3460839,27.8873624,"San Diego CCD","state_pris",514
"104",-94.9137477,32.2750691,"Overton CCD","state_pris",500
"105",-98.8234128,32.8477997,"Breckenridge North CCD","state_pris",486
"106",-97.4438448,32.2859713,"Cleburne CCD","local_jail",478
"107",-97.9613619,29.6142434,"Seguin CCD","local_jail",465
