"","lon","lat","NAME","type","inmates"
"1",-119.7891118,36.01376,"Stratford CCD","state_pris",12118
"2",-73.852939,40.8487111,"Bronx borough","local_jail",11939
"3",-95.8037646,31.8909606,"Montalba-Tennessee Colony CCD","state_pris",11854
"4",-111.2133547,32.7917151,"Florence CCD","state_pris",11384
"5",-119.200331,35.6854889,"Delano-McFarland CCD","state_pris",11120
"6",-121.435605,36.5497179,"Gonzales CCD","state_pris",10048
"7",-95.3887412,29.8014132,"Houston CCD","local_jail",9667
"8",-87.6814255,41.8357431,"Chicago city","local_jail",9507
"9",-75.1333459,40.0093755,"Philadelphia city","local_jail",8828
"10",-120.5515526,40.4032247,"Susanville CCD","state_pris",8110
"11",-97.701935,31.4329075,"Gatesville CCD","state_pris",8082
"12",-112.0273165,33.5161731,"Phoenix CCD","local_jail",7902
"13",-122.000056,38.4097197,"Vacaville CCD","state_pris",7810
"14",-115.3758748,33.7954484,"Chuckwalla Valley CCD","state_pris",7634
"15",-118.3598178,33.9958488,"Los Angeles CCD","local_jail",7547
"16",-95.4888756,29.2401918,"Angleton CCD","state_pris",7339
"17",-120.2474974,37.0820179,"Chowchilla CCD","state_pris",7316
"18",-95.6655801,30.7050371,"Huntsville CCD","state_pris",7232
"19",-97.6847383,28.4270428,"Beeville CCD","state_pris",7073
"20",-118.57729,34.5395282,"Newhall CCD","local_jail",6920
"21",-84.424568,42.2960734,"Blackman charter township","state_pris",6776
"22",-121.1416355,38.6665966,"Folsom CCD","state_pris",6676
"23",-120.6790891,35.2348219,"San Luis Obispo CCD","state_pris",6428
"24",-120.0793193,35.9048358,"Avenal CCD","state_pris",6423
"25",-82.1138497,28.8636888,"Wildwood CCD","fed_pris",6395
"26",-96.6883192,32.8294489,"Northeast Dallas CCD","local_jail",6380
"27",-118.517561,35.1188191,"Tehachapi CCD","state_pris",5903
"28",-76.6105159,39.3002135,"Baltimore city","state_pris",5830
"29",-81.2019277,34.1336764,"Dutch Fork CCD","state_pris",5733
"30",-119.7489717,35.6450736,"Wasco CCD","state_pris",5710
"31",-117.3192878,34.0951263,"San Bernardino CCD","local_jail",5464
"32",-83.0564225,39.4226625,"Union township","state_pris",5447
"33",-115.1158559,36.1295524,"Las Vegas CCD","local_jail",5411
